"F_127N","F_128N","F_128C","F_129N","F_129C","F_130N","F_130C","ID","Acc"
"P22626",2637.53466624434,3491.93418291315,10900.5658209935,271.567602045013,583.250530961005,422.364445146313,348.805287841839,"P22626","P22626"
"P31946-2",8280.87109997565,22005.4460881174,29723.0310094698,13848.9860914172,19593.790950302,9841.8301616098,20436.1282971388,"P31946-2","P31946-2"
"P51991",214.288027400479,353.591891208084,523.709795925555,641.491762716418,598.722711927393,477.192808100765,647.962516829013,"P51991","P51991"
"P60660",2656.53144774662,3896.73086447208,8253.13355536712,846.272555663977,3864.76482616172,2660.75894586849,3550.98165601686,"P60660","P60660"
"P62805",498019.058343723,806588.455981695,27704939.1093452,215464.191785372,296023.889256132,223598.283732225,260926.585638795,"P62805","P62805"
"P63104",22451.8248036777,17560.9041353459,29301.4816828429,28645.2052232132,15623.1242312305,11377.4545258478,15962.3345220844,"P63104","P63104"
"Q96KR1",577.455574422774,816.99142881967,1160.35735485261,680.302851658902,978.764170662373,764.435719717682,530.241418320119,"Q96KR1","Q96KR1"
"Q99453",250819.822215853,881772.088283929,1637608.112743,3037814.25332199,2675952.05840316,1860312.72100047,3333459.55159217,"Q99453","Q99453"
"Q9BXW7",8115.55034973611,20312.6772314671,41508.0592843606,14533.5035502183,16359.5960202844,9098.86328428929,15071.857597459,"Q9BXW7","Q9BXW7"
"Q9H4A3-4",1000.8167786875,1458.09941265095,2628.7605902544,1939.6852143028,2216.86178793393,1729.8779865056,1584.17749145495,"Q9H4A3-4","Q9H4A3-4"
"Q9H560",2787.25422328866,4745.97210651763,7582.53163749407,3292.9199891961,6686.92000236637,3444.00653827163,6117.83275975446,"Q9H560","Q9H560"
"Q9UKY4",40572.3342124069,191714.219220571,124594.754632172,102734.889743612,150291.641669661,97721.0340477268,154536.941874092,"Q9UKY4","Q9UKY4"
