P11142,HSPA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6PJT7,ZC3H14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35611,ADD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04181,OAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30876,POLR2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33991,MCM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P53396,ACLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6UB35,MTHFD1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23246,SFPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08195,SLC3A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43390,HNRNPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50914,RPL14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60709,ACTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28331,NDUFS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P45880,VDAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24941,CDK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36578,RPL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11177,PDHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60842,EIF4A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49411,TUFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75533,SF3B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14776,TCERG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13473,LAMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4VCS5,AMOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q93009,USP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25685,DNAJB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23511,NFYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23378,GLDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68400,CSNK2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13435,SF3B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13308,PTK7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42704,LRPPRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35658,NUP214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51003,PAPOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75400,PRPF40A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62308,SNRPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35579,MYH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H0A0,NAT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04406,GAPDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38919,EIF4A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78371,CCT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31943,HNRNPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15145,ARPC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12906,ILF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16778,H2BC21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12277,CKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2N5,RBM27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62701,RPS4X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43852,CALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34932,HSPA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02809,PLOD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05023,ATP1A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39023,RPL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14618,PKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJ14,GGT7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25789,PSMA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11388,TOP2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00610,CLTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08211,DHX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92947,GCDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49848,TAF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13740,ALCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49591,SARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06733,ENO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62820,RAB1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6IA86,ELP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9GZT8,NIF3L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H7B2,RPF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02790,FKBP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DMV9,HSPA1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21964,COMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50990,CCT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00592,PODXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42892,ECE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62195,PSMC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31930,UQCRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99426,TBCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15029,EFTUD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25705,ATP5F1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99729,HNRNPAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92973,TNPO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7L0Y3,TRMT10C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49327,FASN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78527,PRKDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75131,CPNE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61221,ABCE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01082,SPTBN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09960,LTA4H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2TAL8,QRICH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43175,PHGDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95373,IPO7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11498,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92542,NCSTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3KN83,SBNO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12797,ASPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1L0T0,ILVBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14204,DYNC1H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39656,DDOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H0D6,XRN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00743,PPP6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62277,RPS13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09884,POLA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23526,AHCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37198,NUP62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P41250,GARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61247,RPS3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08238,HSP90AB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27816,MAP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96KR1,ZFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46060,RANGAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10155,RO60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y4L1,HYOU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99538,LGMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NYU2,UGGT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NYK5,MRPL39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46782,RPS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12956,XRCC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35606,COPB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50995,ANXA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48147,PREP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60506,SYNCRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15758,SLC1A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56192,MARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7KZF4,SND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y6Y8,SEC23IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12907,LMAN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H078,CLPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16278,GLB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13557,CAMK2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17987,TCP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27694,RPA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62854,RPS26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6PI48,DARS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WUM0,NUP133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9HC38,GLOD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38646,HSPA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9HDC9,APMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H583,HEATR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13797,PLS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07900,HSP90AA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18583,SON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IWZ3,ANKHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49588,AARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04637,EIF4G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14406,COX7A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P41223,BUD31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75643,SNRNP200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z3K3,POGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H488,POFUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07686,HEXB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TEM1,NUP210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ULT8,HECTD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y3B3,TMED7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13620,CUL4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01518,CAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16615,ATP2A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50991,CCT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12004,PCNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5YKK6,CNOT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6P2Q9,PRPF8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15355,PPM1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7LBC6,KDM3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10809,HSPD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05166,PCCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z3B4,NUP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05165,PCCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14318,FKBP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13616,CUL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BVL2,NUP58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00492,HPRT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UMX0,UBQLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00268,TAF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2J5,LARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z6Z7,HUWE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54578,USP14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99832,CCT7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19338,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54727,RAD23B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00505,KPNA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08380,LGALS3BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P41252,IARS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05388,RPLP0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5UIP0,RIF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31948,STIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63241,EIF5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78310,CXADR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09211,GSTP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75179,ANKRD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92879,CELF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12830,BPTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
