Protein,F_127N,F_128N,F_128C,F_129N,F_129C,F_130N,F_130C
P22626,13.34378133,12.98171846,11.4761987,9.104568597,8.231113082,8.666867249,8.84325711
P31946-2,14.51485546,13.06638542,12.64219001,11.96833007,11.45509365,12.45310278,11.37039995
P51991,10.7367156,10.12569318,9.439890465,6.509253005,6.570974865,6.872177726,6.467653895
P60660,12.14651731,11.59379681,10.51111912,12.33150465,10.14031831,10.67886112,10.26248103
P62805,19.78358931,18.91591197,16.63628728,11.38568367,10.98118428,11.29359579,11.17052104
P63104,11.35873355,11.4835311,10.84451797,11.14679506,11.47192978,12.14827692,11.64326593
Q96KR1,9.477261809,8.976650825,8.470474493,8.264366123,7.739581969,8.096148067,8.623893893
Q99453,17.96886189,16.68432832,15.66848031,13.74061685,13.7976058,13.96973682,13.29843081
Q9BXW7,15.07577897,14.14838904,13.10441514,10.96069882,10.75678528,11.64100918,10.81866399
Q9H4A3-4,10.92681996,10.3848408,9.712259681,5.806410276,5.739543264,5.98552899,5.965625126
Q9H560,11.4846741,10.71681508,10.04083909,10.5502081,9.528233698,10.48548767,9.656554887
Q9UKY4,14.42385677,12.18346764,12.80518165,10.54648688,9.997648323,10.61867207,9.957461347
