logFC,P.Value,adj.P.Val,symbol,FC,logPval
7.237516658,3.57E-20,4.28E-19,H4C1,150.9054208,19.44773553
4.4670299,7.63E-12,4.58E-11,Q9H4A3-4,22.10486971,11.11737278
3.889114654,5.66E-10,2.26E-09,HNRNPA2B1,14.7994405,9.247452942
3.495751542,1.06E-08,3.18E-08,HNRNPA3,11.25827857,7.975366627
3.072292603,2.37E-07,4.99E-07,Q99453,8.381366346,6.624983688
3.065238399,2.50E-07,4.99E-07,HDHD5,8.340194166,6.602773867
2.857434865,1.11E-06,1.90E-06,Q9UKY4,7.212760228,5.9542705
1.596078684,0.003626188,0.005439282,P31946-2,2.940511032,2.440549665
0.793798196,0.137331347,0.183108463,ZFR,1.589426739,0.862230319
0.692321668,0.194042307,0.232850769,Q9H560,1.46116751,0.71210357
0.563853136,0.289039541,0.315315863,MYL6,1.309088699,0.539042741
-0.373639382,0.481169123,0.481169123,YWHAZ,-1.102658823,0.31770225
