"F_126","F_127N","F_127C","F_132C","F_133N","F_133C"
"A0AVT1",17.6858649661988,17.9505092394554,17.8766118101648,17.6791769033334,17.57733586414,17.8398502936523
"A3KN83",14.8133014957415,14.5792966278767,14.2855505333426,14.5875759995265,14.7332495875421,14.6734032074076
"A5YKK6",20.899648176056,20.6588877612787,20.8708058889249,20.3889124138939,20.4063778144275,20.3404148998159
"A6NHR9",14.9122455748012,15.0936636985364,14.6737514109901,14.8473036263765,14.7913962529035,14.8226505689638
"O00116",15.380098330779,15.4210729959174,15.5171332657129,15.3858431229571,15.3639601773501,15.5184239986181
"O00148",16.8447392663558,16.8909266924836,16.5366270279912,16.4320047691647,16.4042003883528,16.4168456929125
"O00154",16.3426436395454,16.9860161603664,16.7375512217958,16.8603740034443,16.7882782472372,16.7360893989337
"O00159",18.3973672230679,18.5174295628953,18.4224240805911,18.6107755760165,18.5954132612641,18.7100748246071
"O00231",14.7503613722941,14.3362698788659,14.6534085849587,14.7058691470063,14.5148928420893,14.6252953941131
"O00232",17.2372151701236,16.866212640773,17.3524928564529,16.8790585087574,16.7285976155161,16.8943584629088
"O00268",15.2753007124407,15.0784462687198,15.0265962120939,15.0191180382951,15.0279505551912,14.6186448064079
"O00299",16.84613698817,16.4974863539447,16.8610596351724,16.6446741561419,16.7404907727273,16.4660171164767
"O00303",17.7408111791292,17.3931097704619,17.8945207107716,18.0147037548222,17.8570645081998,17.9568368406344
"O00410",18.4105816773024,18.5690473465824,18.6389629534752,18.2842127635222,18.2232486259573,18.1780824651551
"O00429",17.0631266638941,16.790009649253,16.9027658849312,17.1583338924923,17.210164068426,17.1131971312144
"O00468",13.7843559973388,14.0305327701908,13.6186567895203,13.6559168211434,13.6187517522864,13.5831534706637
"O00469",17.4809852982079,17.8679346691246,17.8262047251131,17.0518801002911,16.9245874326287,16.9889455103264
"O00505",14.6122846453673,14.4798288171063,14.8510560534337,14.6214906675568,14.7226362341967,14.8445362798143
"O00567",14.1409852812841,14.4067443217587,14.2059230142388,14.2706263635093,14.4174178270531,14.5339563845167
"O00571",17.5734596283524,17.2543109195905,17.3716559575452,17.7664352076285,18.0701051297415,17.8211363512862
"O00764",17.3785265711833,16.8490287781438,17.4400874645842,17.5042472786842,17.3224710857774,17.5004544005931
"O14744",17.9609900078129,17.9449406934433,18.1307762577317,17.8582376856248,17.9437425542806,17.87482233476
"O14776",19.7870159887913,19.9094364337097,19.7841370050973,19.2647062265868,19.340160881116,18.8542419775485
"O14818",18.1508873083398,17.819239582749,18.2757445969419,17.9829951100661,17.8093569432566,17.8940984836169
"O14828",16.2418815391511,16.6705710594538,16.2949166087387,16.0594907489501,15.869075357449,16.1523681641304
"O14929",13.5924568072782,13.3259359174054,13.6610768763924,13.5412127069565,13.552735029161,13.305116254049
"O14964",18.157489769081,18.1642043096781,18.1034357095147,18.7428179524462,18.9221703794519,18.3885266455719
"O14974",19.4285462967818,19.3262067501618,18.8648346347961,19.4005961515925,19.4849282179643,19.2683939707699
"O14979",14.613846197554,14.7035663774724,14.4143175877423,14.8158127000642,15.0146386087887,14.831725486268
"O14980",18.7609160680318,18.1863412291974,18.8098064162036,18.6819111591529,18.6724396433866,18.6815998174882
"O15067",16.2241229566954,16.456800539695,16.4479054865087,15.8705017743989,15.9373001787639,16.1343657716963
"O15118",19.4710553477683,20.4334019136755,19.6467847627699,18.6999965530495,18.5606437518641,18.8811973593457
"O15127",13.5977014189496,13.7858517120176,13.6163054027871,13.6891244711362,13.627473683997,13.5191402612026
"O15143",18.6360457986052,19.0850290100713,19.0634885105129,18.4581344037442,18.4409386104548,18.7393124870546
"O15144",17.4740080422902,17.0374299197802,17.4933638240555,17.6164534616094,17.5148701118335,17.5099694161416
"O15145",14.0507046956926,13.5198353531741,14.4569514468313,14.6566961300946,14.355279782411,13.8896073043262
"O15160",13.4313508242568,13.5162327879131,13.344454407069,13.7035063885082,13.1076136285992,13.3756122993026
"O15228",14.1732116607426,13.9618846623112,14.1392945438529,14.0487285357867,13.9299555344206,13.7101303162683
"O15231",16.2950026298766,16.1901688074375,16.2458686606077,16.8127993747956,17.0081627634624,16.7014863421727
"O15260",17.878177638016,19.0256701965665,18.2125456325616,17.6680349359328,17.7799578690142,17.8209664780039
"O15294",21.51015134734,21.3975164879764,21.3205568660267,24.0783910751356,24.1986276973434,24.1624574024685
"O15355",17.7559587287131,17.4730719183391,17.520446456103,18.4991797827278,18.6634131584696,18.2749608064253
"O15371",17.3539838606139,16.9724179350447,17.4749527007932,17.2618112841345,17.3798793190593,17.5207262538685
"O15372",16.7640426922674,16.8665989145924,16.7175507838649,17.1210420354021,17.2175813162458,17.3015526270356
"O15460",16.6993216109601,16.2533278809291,17.0965461794474,16.6154850767452,16.3618832008321,16.5688036932608
"O15479",15.7838405663746,15.9115354935464,15.69221892319,16.5481538673236,16.5411441688161,16.7795169243238
"O15504",14.1909313882608,14.2606827653662,13.5101410621634,14.7303453251314,14.9654639062807,14.8763333612457
"O43143",18.7138066388397,18.4823551927981,18.7288443393733,18.6534913706142,18.6748472914113,18.7511207327501
"O43148",15.192395081783,15.3254772888978,15.2604359898787,15.3971258473378,15.23307588097,15.4437675450472
"O43175",17.601574454978,17.489182211578,17.7804093762107,17.3740977593718,17.411207314087,17.4531761077964
"O43242",17.3183942937708,16.8029313600792,16.9576498230299,16.8769660112054,16.9641150924619,17.1369351058993
"O43252",11.8798797284428,11.3266645648206,12.3305092622472,12.3109806519684,12.3338106515762,12.6246059925697
"O43264",12.2329066603699,12.1247102527547,12.2227479092025,12.1314125742151,12.5492334913186,12.1478209360341
"O43390",18.2220011248617,18.1541812581477,18.1214405477487,18.2126914976354,18.2835721367872,18.3018829722306
"O43396",16.0228362625988,16.2847873524363,15.8926066358207,15.330343977162,15.3526386191082,15.1570374295686
"O43491",18.9335632523309,18.9100361701254,18.483796088379,18.9852578789594,19.0962986911547,18.9385611071668
"O43592",14.0312672666009,13.8914455443842,14.0567140705624,13.8273577844564,13.988152092203,14.0693284377056
"O43615",16.3110611125389,16.0150066863293,16.5079720813013,16.6218842272438,16.5304123828861,16.5177423590987
"O43660",17.7708978812163,17.8475853015885,17.7099096951057,17.0927914859664,16.9681172899037,17.0604651633739
"O43670",17.3785875663194,16.6430724063563,16.7672332372784,16.8582190942498,17.1447229683491,16.5973272927804
"O43681",14.9746100040874,14.9947132585211,14.764214761779,15.1413761147981,14.9343443534467,14.8855053209088
